cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"Mystic Tomato",13,"Rare",M,Unlimited,"Magic Ruler",MRL-094,83011277 
"Mystical Cards of Light",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN058,48356796 
"Mystical Moon",2,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-094,36607978 
"Mystical Sheep #2",7,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-037,83464209 
"Mystical Shine Ball",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-004,39552864 
"Mystical Space Typhoon",15,"Common",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN015,5318639 
"Mystical Wind Typhoon",7,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN045,63516460 
"Mystik Wok",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-036,80161395 
"Nanobreaker",9,"Common",M,Unlimited,"Elemental Energy",EEN-EN018,70948327 
"Narrow Pass",3,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN045,40172183 
"Natural Disaster",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN065,18158397 
"Necklace of Command",4,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN040,48576971 
"Necrovalley",2,"Super Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN032,47355498 
"Needle Ceiling",10,"Common",M,1st Edition,"Pharaonic Guardian",PGD-045,38411870 
"Needle Wall",10,"Common",M,Unlimited,"Pharaonic Guardian",PGD-048,38299233 
"Needle Worm",7,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN102,81843628 
"Needlebug Nest",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN079,84968490 
"Neko Mane King",7,"Common",M,Unlimited,"Magician's Force",MFC-021,11021521 
"Nemuriko",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-013,90963488 
"Neo Aqua Madoor",10,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN002,49563947 
"Neo Bug",1,"Common",M,Unlimited,"Invasion of Chaos",IOC-058,16587243 
"Neo Space",5,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN046,42015635 
"Neo-Spacian Air Hummingbird",4,"Super Rare",M,Unlimited,"Strike of Neos",STON-EN004,54959865 
"Neo-Spacian Aqua Dolphin",2,"Super Rare",M,Unlimited,"Power of the Duelist",POTD-EN003,17955766 
"Neo-Spacian Dark Panther",1,"Rare",M,Unlimited,"Duelist Pack 3: Jaden Yuki 2",DP03-EN007,43237273 
"Neo-Spacian Flare Scarab",2,"Super Rare",M,Unlimited,"Power of the Duelist",POTD-EN004,89621922 
"Neo-Spacian Glow Moss",8,"Common",M,1st Edition,"Strike of Neos",STON-EN006,17732278 
"Neo-Spacian Grand Mole",4,"Rare",M,Unlimited,"Strike of Neos",STON-EN005,80344569 
"Neo-Spacian Marine Dolphin",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN040,78734254 
"Neo-Spacian Twinkle Moss",6,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN042,13857930 
"Neos Force",2,"Rare",M,Unlimited,"Strike of Neos",STON-EN039,47274077 
"Nettles",2,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN024,19505896 
"Newdoria",5,"Common",M,Limited,"Gold Series 2008",GLD1-EN011,4335645 
"NEX",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN049,81913510 
"Next to be Lost",10,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN054,7076131 
"Night Assailant",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-080,16226786 
"Night's End Sorcerer",1,"Super Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN087,36107810 
"Nightmare Horse",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-077,59290628 
"Nightmare Penguin",13,"Common",M,Unlimited,"Rise of Destiny",RDS-EN010,81306586 
"Nimble Momonga",5,"Common",M,Unlimited,"Retro Pack 1",RP01-EN071,22567609 
"Nimble Musasabi",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN086,57844634 
"Nin-Ken Dog",3,"Common",M,Unlimited,"Dark Crisis",DCR-002,11987744 
"Ninja Grandmaster Sasuke",2,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN019,4041838 
"Ninjitsu Art of Decoy",18,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN052,89628781 
"Ninjitsu Art of Transformation",7,"Common",M,Unlimited,"Ancient Sanctuary",AST-052,70861343 
"Nitro Unit",5,"Ultimate Rare",M,Unlimited,"The Lost Millennium",TLM-EN046,23842445 
"Nitro Warrior",1,"Ultra Rare",M,1st Edition,"The Duelist Genesis",TDGS-EN039,18013090 
"Niwatori",6,"Common",M,Unlimited,"Metal Raiders",MRD-112,7805359 
"Nobleman of Extermination",4,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-035,17449108 
"Nobleman-Eater Bug",10,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN030,65878864 
"Noisy Gnat",2,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN037,45620686 
"Non Aggression Area",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-101,76848240 
"Non-Fusion Area",8,"Common",M,Unlimited,"Elemental Energy",EEN-EN059,27581098 
"Non-Spellcasting Area",2,"Common",M,Unlimited,"Dark Crisis",DCR-043,20065549 
"Nubian Guard",7,"Common",M,Unlimited,"Ancient Sanctuary",AST-066,51616747 
"Numinous Healer",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-023,2130625 
"Nutrient Z",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-096,29389368 
"Nuvia the Wicked",1,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-013,12953226 
"O - Oversoul",10,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN041,63703130 
"Obsidian Dragon",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN023,90464188 
"Ocean's Keeper",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN081,45045866 
"Octoberser",2,"Common",M,Unlimited,"Magic Ruler",MRL-052,74637266 
"Ocubeam",1,"Common",M,Unlimited,"Metal Raiders",MRD-030,86088138 
"Offering to the Snake Deity",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN077,93217231 
"Offerings to the Doomed",6,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-051,19230407 
"Ojama Black",7,"Common",M,Unlimited,"Invasion of Chaos",IOC-002,79335209 
"Ojama Delta Hurricane!!",9,"Common",M,Unlimited,"Invasion of Chaos",IOC-034,8251996 
"Ojama Green",4,"Common",M,Unlimited,"Dark Crisis",DCR-056,12482652 
"Ojama King",6,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN034,90140980 
"Ojama Knight",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN044,40391316 
"Ojama Trio",10,"Common",M,Unlimited,"Dark Crisis",DCR-047,29843091 
"Ojama Yellow",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-001,42941100 
"Ojamagic",7,"Common",M,Unlimited,"Elemental Energy",EEN-EN040,24643836 
"Ojamuscle",10,"Common",M,1st Edition,"Elemental Energy",EEN-EN041,98259197 
"Old Vindictive Magician",9,"Common",M,Unlimited,"Magician's Force",MFC-067,45141844 
"Omega Goggles",2,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN062,4857085 
"Ominous Fortunetelling",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-094,56995655 
"One-Eyed Shield Dragon",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-087,33064647 
"Oni Tank T-34",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-059,66927994 
"Ooguchi",2,"Common",M,Unlimited,"Metal Raiders",MRD-032,58861941 
"Oppressed People",3,"Common",M,Unlimited,"Magician's Force",MFC-002,58538870 
"Opti-Camouflage Armor",10,"Common",M,Unlimited,"Ancient Sanctuary",AST-035,44762290 
"Opticlops",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN131,14531242 
"Option Hunter",6,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN058,33248692 
"Orb of Yasaka",2,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN055,74115234 
"Orbital Bombardment",8,"Common",M,Unlimited,"Power of the Duelist",POTD-EN053,96875080 
"Orca Mega-Fortress of Darkness",2,"Super Rare",M,Unlimited,"Invasion of Chaos",IOC-084,63120904 
"Ordeal of a Traveler",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN239,39537362 
"Order to Charge",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-085,78986941 
"Order to Smash",4,"Common",M,1st Edition,"Ancient Sanctuary",AST-110,39019325 
"Otohime",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-069,39751093 
"Outstanding Dog Marron",5,"Common",M,Unlimited,"Dark Crisis",DCR-062,11548522 
"Over Destiny",1,"Super Rare",M,Unlimited,"Duelist Pack 5: Aster Phoenix",DP05-EN021,72204747 
"Over Limit",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN063,23282832 
"Overdrive",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-060,2311603 
"Overload Fusion",3,"Rare",M,1st Edition,"Power of the Duelist",POTD-EN042,3659803 
"Overworked",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN080,71272951 
"Owner's Seal",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN094,9720537 
"Oxygeddon",10,"Common",M,1st Edition,"Elemental Energy",EEN-EN014,58071123 
"Oyster Meister",6,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN028,83239739 
"Painful Choice",9,"Super Rare",M,Unlimited,"Magic Ruler",MRL-049,74191942 
"Pale Beast",2,"Common",M,Unlimited,"Metal Raiders",MRD-047,21263083 
"Pandemonium",12,"Common",M,Unlimited,"Dark Crisis",DCR-094,94585852 
"Pandemonium Watchbear",4,"Common",M,Unlimited,"Dark Crisis",DCR-058,75375465 
"Paralyzing Chain",1,"Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN054,79707116 
"Paralyzing Potion",3,"Common",M,Unlimited,"Metal Raiders",MRD-137,50152549 
"Parasitic Ticky",11,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN018,87978805 
"Parry",7,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN072,52228131 
"Patrician of Darkness",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-058,19153634 
"Patroid",10,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN006,71930383 
"Peacock",2,"Common",M,Unlimited,"Magic Ruler",MRL-011,20624263 
"Penalty Game!",1,"Rare",M,Unlimited,"Dark Revelation Volume 3",DR3-EN171,967928 
"Penguin Knight",5,"Common",M,Unlimited,"Magic Ruler",MRL-001,36039163 
"People Running About",2,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN056,12143771 
"Perfect Machine King",3,"Ultimate Rare",M,Unlimited,"Rise of Destiny",RDS-EN012,18891691 
"Performance of Sword",3,"Common",M,Unlimited,"Magic Ruler",MRL-067,4849037 
"Petit Angel",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-025,38142739 
"Petit Dragon",3,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-024,75356564 
"Petit Moth",6,"Common",M,Unlimited,"Metal Raiders",MRD-023,58192742 
"Phantasmal Martyrs",7,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN041,93224848 
"Phantom Cricket",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN030,56605802 
"Phantom Dragonray Bronto",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN087,43191636 
"Pharaoh's Servant",2,"Common",M,1st Edition,"Ancient Sanctuary",AST-060,52550973 
"Pharaoh's Treasure",2,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-052,63571750 
"Pharaonic Protector",6,"Common",M,Unlimited,"Ancient Sanctuary",AST-061,89959682 
"Phoenix Wing Wind Blast",4,"Rare",M,Unlimited,"Flaming Eternity",FET-EN053,63356631 
"Photon Generator Unit",5,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN045,66607691 
"Physical Double",3,"Common",M,Unlimited,"Magician's Force",MFC-047,63442604 
"Pikeru's Second Sight",10,"Common",M,Unlimited,"The Lost Millennium",TLM-EN050,58015506 
"Pinch Hopper",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-078,26185991 
"Pineapple Blast",1,"Common",M,Unlimited,"Magician's Force",MFC-045,90669991 
"Piranha Army",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-026,50823978 
"Pitch-Black Power Stone",5,"Common",M,Unlimited,"Magician's Force",MFC-095,34029630 
"Pitch-Black Warwolf",6,"Common",M,Unlimited,"Rise of Destiny",RDS-EN026,88975532 
"Pitch-Dark Dragon",6,"Common",M,Unlimited,"Magician's Force",MFC-008,47415292 
"Pixie Knight",3,"Common",M,Unlimited,"Magician's Force",MFC-070,35429292 
"Plant Food Chain",2,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN076,54451023 
"Poison Chain",3,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN053,33302407 
"Poison Draw Frog",18,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN028,56840658 
"Poison Fangs",11,"Common",M,1st Edition,"Flaming Eternity",FET-EN038,76539047 
"Poison Mummy",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-016,43716289 
"Poison of the Old Man",6,"Common",M,Unlimited,"Magician's Force",MFC-033,8842266 
"Pole Position",7,"Common",M,Unlimited,"Flaming Eternity",FET-EN050,73578229 
"Pollinosis",1,"Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN074,91078716 
"Polymerization",10,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN119,24094653 
"Portable Battery Pack",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN074,61840587 
"Possessed Dark Soul",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-004,52860176 
"Pot of Avarice",4,"Super Rare",M,Unlimited,"Elemental Energy",EEN-EN037,67169062 
"Pot of Generosity",16,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN043,70278545 
"Pot of Greed",4,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-119,55144522 
"Power Bond",1,"Super Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN037,37630732 
"Power Capsule",5,"Common",M,1st Edition,"Enemy of Justice",EOJ-EN043,54289683 
"Power Injector",5,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN021,89547299 
"Power of Kaishin",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-044,77027445 
"Precious Cards from Beyond",6,"Common",M,Unlimited,"Dark Crisis",DCR-038,68304813 
"Premature Burial",2,"Ultra Rare",M,Unlimited,"Pharaoh's Servant",PSV-037,70828912 
"Prepare to Strike Back",18,"Common",M,1st Edition,"Cybernetic Revolution",CRV-EN060,4483989 
"Prevent Rat",4,"Common",M,1st Edition,"Metal Raiders",MRD-084,549481 
"Prickle Fairy",6,"Common",M,Unlimited,"Invasion of Chaos",IOC-077,91559748 
"Prideful Roar",4,"Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN067,66518841 
"Primal Seed",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-042,23701465 
"Princess of Tsurugi",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN052,51371017 
"Prohibition",1,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-039,43711255 
"Protective Soul Ailin",20,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN024,11678191 
"Protector of the Sanctuary",4,"Common",M,1st Edition,"Ancient Sanctuary",AST-065,24221739 
"Protector of the Throne",2,"Common",M,1st Edition,"Metal Raiders",MRD-087,10071456 
"Proto-Cyber Dragon",5,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN010,26439287 
"Psi-Impulse",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN052,31328739 
"Psi-Station",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN051,4230620 
"Psychic Commander",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN020,21454943 
"Psychic Jumper",2,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN023,52430902 
"Psychic Kappa",4,"Common",M,Unlimited,"Magic Ruler",MRL-053,7892180 
"Psychic Rejuvenation",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN071,21488686 
"Psychic Snail",1,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN021,58453942 
"Psychic Trigger",1,"Super Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN073,55673611 
"Pumpking the King of Ghosts",2,"Common",M,Unlimited,"Metal Raiders",MRD-079,29155212 
"Punished Eagle",5,"Common",M,1st Edition,"Metal Raiders",MRD-100,74703140 
"Puppet Plant",6,"Common",M,1st Edition,"Strike of Neos",STON-EN022,51119924 
"Pursuit Chaser",5,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN016,27870033 
"Pyramid Energy",2,"Common",M,1st Edition,"Pharaonic Guardian",PGD-040,76754619 
"Pyramid Turtle",1,"Rare",M,1st Edition,"Pharaonic Guardian",PGD-026,77044671 
"Pyro Clock of Destiny",5,"Common",M,1st Edition,"Pharaonic Guardian",PGD-050,1082946 
"Queen Bird",2,"Common",M,Unlimited,"Magic Ruler",MRL-009,73081602 
"Queen of Thorns",1,"Super Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN042,45500495 
"Queen's Bodyguard",6,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN027,71411377 
"Queen's Double",2,"Common",M,Unlimited,"Metal Raiders",MRD-051,5901497 
"Queen's Knight",4,"Rare",M,Unlimited,"Elemental Energy",EEN-EN004,25652259 
"Question",2,"Super Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN053,38723936 
"Quick Charger",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN055,49479374 
"Quillbolt Hedgehog",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN003,23571046 
"R - Righteous Justice",8,"Common",M,1st Edition,"Enemy of Justice",EOJ-EN040,37318031 
"Rabid Horseman",7,"Common",M,Unlimited,"Metal Raiders",MRD-077,94905343 
"Radiant Spirit",8,"Common",M,Unlimited,"Strike of Neos",STON-EN029,12624008 
"Rafflesia Seduction",3,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN020,31440542 
"Raging Cloudian",6,"Common",M,Unlimited,"Light of Destruction",LODT-EN076,23639291 
"Raging Earth",9,"Common",M,Unlimited,"Strike of Neos",STON-EN027,50957346 
"Raging Eria",6,"Common",M,1st Edition,"Enemy of Justice",EOJ-EN027,56524813 
"Raging Flame Sprite",4,"Common",M,Unlimited,"Rise of Destiny",RDS-EN020,90810762 
"Raigeki",1,"Super Rare",M,Unlimited,"Dark Legends",DLG1-EN006,12580477 
"Raigeki Break",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-096,4178474 
"Rain of Mercy",9,"Common",M,Unlimited,"Pharaoh's Servant",PSV-065,66719324 
"Rain Storm",6,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN066,45653036 
"Rainbow Dragon",2,"Ghost Rare",M,Unlimited,"Tactical Evolution",TAEV-EN006,79856792 
"Rainbow Flower",6,"Common",M,Unlimited,"Metal Raiders",MRD-042,21347810 
"Rainbow Gravity",2,"Common",M,Unlimited,"Light of Destruction",LODT-EN065,63806265 
"Rainbow Life",2,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN064,34002992 
"Rainbow Path",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN063,7617253 
"Rainbow Veil",3,"Common",M,1st Edition,"Phantom Darkness",PTDN-EN045,12735388 
"Raise Body Heat",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-097,51267887 
"Rallis the Star Bird",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN007,41382147 
"Rampaging Rhynos",3,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN031,3784434 
"Rapid-Fire Magician",3,"Rare",M,Unlimited,"Elemental Energy",EEN-EN019,6337436 
"Rare Metal Dragon",4,"Common",M,Limited,"Gold Series 2008",GLD1-EN020,25236056 
"Rare Metalmorph",2,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN052,12503902 
"Rare Value",1,"Ultra Rare",M,Unlimited,"Force of the Breaker",FOTB-EN033,60876124 
"Raregold Armor",3,"Common",M,Unlimited,"Magician's Force",MFC-036,7625614 
"Ray & Temperature",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-035,85309439 
"Ray of Hope",4,"Common",M,Unlimited,"Dark Crisis",DCR-103,82529174 
"Razor Lizard",2,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN036,18372968 
"Re-Fusion",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN047,74694807 
"Ready for Intercepting",1,"Common",M,Unlimited,"Legacy of Darkness",LOD-031,31785398 
"Really Eternal Rest",3,"Common",M,Unlimited,"Dark Crisis",DCR-050,28121403 
"Realm of Light",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN053,36099620 
"Reaper of the Cards",5,"Rare",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-071,33066139 
"Reaper on the Nightmare",1,"Super Rare",M,Unlimited,"Pharaonic Guardian",PGD-078,85684223 
"Reasoning",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-081,58577036 
"Reborn Zombie",7,"Common",M,Unlimited,"Elemental Energy",EEN-EN009,23421244 
"Reckless Greed",2,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-051,37576645 
"Recycle",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-041,96316857 
"Recycling Batteries",6,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN061,99995595 
"Red Archery Girl",4,"Common",M,1st Edition,"Magic Ruler",MRL-030,65570596 
"Red Medicine",5,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-054,38199696 
"Red-Eyes Black Dragon",1,"Rare",M,Unlimited,"Dark Legends",DLG1-EN012,74677422 
"Regenerating Mummy",8,"Common",M,Unlimited,"Ancient Sanctuary",AST-079,70821187 
"Regenerating Rose",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN005,31986288 
"Reign-Beaux, Overlord of Dark World",1,"Ultimate Rare",M,Unlimited,"Strike of Neos",STON-EN017,99458769 
"Reinforcement of the Army",1,"Rare",M,Unlimited,"Dark Beginning 2",DB2-EN147,32807846 
"Release from Stone",1,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN068,26956670 
"Release Restraint",10,"Common",M,Unlimited,"Flaming Eternity",FET-EN044,75417459 
"Reload",2,"Super Rare",M,Unlimited,"Invasion of Chaos",IOC-045,22589918 
"Remote Revenge",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN066,61656650 
"Remove Brainwashing",4,"Common",M,Unlimited,"Magician's Force",MFC-101,94739788 
"Remove Trap",3,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-060,51482758 
"Renge, Gatekeeper of Dark World",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN003,60606759 
"Rescue Cat",4,"Common",M,Unlimited,"Flaming Eternity",FET-EN033,14878871 
"Rescueroid",5,"Common",M,1st Edition,"Power of the Duelist",POTD-EN011,24311595 
"Respect Play",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-032,8951260 
"Restructer Revolution",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN108,99518961 
"Return of the Doomed",3,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-021,19827717 
"Return of the Six Samurai",8,"Common",M,Unlimited,"Strike of Neos",STON-EN051,46874015 
"Reversal Quiz",1,"Common",M,Unlimited,"Pharaonic Guardian",PGD-092,5990062 
"Reverse of Neos",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN046,18302224 
"Revival Gift",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN068,93912845 
"Revival Jam",4,"Super Rare",M,Unlimited,"Labyrinth of Nightmare",LON-006,31709826 
"Revoke Fusion",2,"Rare",M,1st Edition,"Duelist Pack 6: Jaden Yuki 3",DP06-EN020,49469105 
"Ribbon of Rebirth",4,"Rare",M,Unlimited,"Light of Destruction",LODT-EN061,37534148 
"Right Arm of the Forbidden One",6,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN137,70903634 
"Right Leg of the Forbidden One",12,"Ultra Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-120,8124921 
"Ring of Destruction",1,"Secret Rare",M,Unlimited,"Pharaonic Guardian",PGD-000,83555666 
